invoice_id,date,customer_name,total,currency
INV-001,2024-12-01,ООО "Ромашка",15000,RUB
INV-002,2024-12-05,ИП Иванов,27500,RUB
INV-003,2024-12-10,Acme Corp,430.50,USD
INV-004,2024-12-12,ООО "Вектор",18990,RUB
INV-005,2024-12-13,ТОО "Алатау",720000,KZT
INV-006,2024-12-15,ООО "Кедр",9800,RUB
INV-007,2024-12-16,LLC Sunrise,1299.99,USD
INV-008,2024-12-18,ИП Петрова,4550,RUB
INV-009,2024-12-20,ООО "Техника",34999,RUB
INV-010,2024-12-21,IP Sidorov,8700,RUB
INV-011,2024-12-22,ZAO "Nord",5600,RUB
INV-012,2024-12-23,Acme Corp,980.75,USD
INV-013,2024-12-24,ООО "Альфа",123400,RUB
INV-014,2024-12-26,ИП Смирнов,21000,RUB
INV-015,2024-12-27,LLC GreenField,760.40,USD
INV-016,2024-12-28,ООО "Омега",18450,RUB
INV-017,2024-12-29,ИП Кузнецова,13200,RUB
INV-018,2024-12-30,ООО "Сфера",65000,RUB
INV-019,2024-12-31,Startup XYZ,1500,EUR
INV-020,2025-01-02,ООО "Луч",9100,RUB
INV-021,2025-01-03,ИП Фадеев,15750,RUB
INV-022,2025-01-04,LLC BrightTech,2400,USD
